Review	Liked
The waiter here is charming and worth every penny. The sushi was delightful too.	1
Absolutely dirty steak, never coming back.	0
Worst menu I've had in a long time, truly mediocre. The ambience was stale too.	0
What a rude place, the chef fell far short. The soup was overpriced too.	0
Such a stale experience with the place.	0
Absolutely tasty ambience, will come back again.	1
The restaurant was underwhelming. The sushi was slow too.	0
Best coffee I've had in a long time, truly charming.	1
Would not recommend, the pasta was stale.	0
I loved the friendly service here.	1
The service here is tasty and worth every penny.	1
Worst place I've had in a long time, truly bad. The dessert was burnt too.	0
Worst bread I've had in a long time, truly stale. The place was dirty too.	0
What a disappointing place, the salad fell far short.	0
The bread here is rude and not worth the money. The coffee was underwhelming too.	0
great chef and a great atmosphere overall.	1
Absolutely slow chef, never coming back.	0
What a mediocre place, the steak fell far short.	0
Absolutely great staff, will come back again. The steak was outstanding too.	1
What a stale place, the pasta fell far short.	0
Worst burger I've had in a long time, truly bad.	0
bad coffee and a poor atmosphere overall. The food was slow too.	0
I hated the stale pizza here. The ambience was cold too.	0
We really regretted the bland place tonight.	0
Highly recommend, the food was friendly.	1
The staff here is cold and not worth the money.	0
The staff here is horrible and not worth the money. The pasta was bad too.	0
Would not recommend, the restaurant was slow.	0
Worst food I've had in a long time, truly awful.	0
We really regretted the underwhelming steak tonight.	0
Highly recommend, the bread was perfect.	1
What a rude place, the bread fell far short.	0
Highly recommend, the soup was quick.	1
Best bread I've had in a long time, truly lovely.	1
We really regretted the bland pizza tonight. The waitress was stale too.	0
The restaurant was greasy. The restaurant was dirty too.	0
Would not recommend, the pasta was underwhelming. The sushi was underwhelming too.	0
terrible pasta and a poor atmosphere overall.	0
The salad was fresh.	1
Would not recommend, the menu was mediocre.	0
rude pizza and a poor atmosphere overall.	0
I hated the stale pizza here.	0
What a soggy place, the pizza fell far short.	0
Would not recommend, the burger was greasy.	0
I hated the disappointing waitress here. The pasta was cold too.	0
We really enjoyed the delightful chef tonight. The salad was flavorful too.	1
The menu was outstanding. The bread was amazing too.	1
The waiter here is cold and not worth the money. The chef was terrible too.	0
Absolutely bland pizza, never coming back. The menu was tasteless too.	0
We really regretted the greasy waitress tonight.	0
Best chef I've had in a long time, truly delicious. The restaurant was delicious too.	1
I hated the horrible burger here.	0
The waiter here is tasty and worth every penny.	1
Such a cold experience with the food. The chef was overpriced too.	0
We really regretted the disappointing service tonight.	0
Such a soggy experience with the place.	0
Absolutely tasteless pasta, never coming back.	0
Highly recommend, the service was charming. The sushi was lovely too.	1
The menu was superb.	1
Such a cold experience with the menu.	0
Absolutely terrible steak, never coming back.	0
fantastic soup and a great atmosphere overall.	1
What a delicious place, the food exceeded expectations.	1
Absolutely delightful sushi, will come back again. The staff was fresh too.	1
I loved the flavorful waiter here.	1
The steak was awful. The restaurant was burnt too.	0
We really enjoyed the wonderful place tonight. The bread was superb too.	1
The chef was disappointing.	0
The dessert here is wonderful and worth every penny.	1
Highly recommend, the sushi was generous. The sushi was tasty too.	1
Highly recommend, the soup was excellent. The chef was perfect too.	1
Absolutely charming salad, will come back again. The restaurant was generous too.	1
Highly recommend, the pasta was perfect. The food was cozy too.	1
The ambience was rude.	0
Such a unfriendly experience with the dessert. The staff was burnt too.	0
Highly recommend, the ambience was tasty.	1
What a wonderful place, the bread exceeded expectations. The waitress was outstanding too.	1
Would not recommend, the place was cold.	0
Absolutely wonderful service, will come back again.	1
We really enjoyed the fantastic menu tonight. The service was impressive too.	1
Would not recommend, the ambience was underwhelming.	0
The soup was perfect. The salad was great too.	1
We really enjoyed the tasty food tonight.	1
The staff was bad. The waitress was dirty too.	0
The service here is unfriendly and not worth the money.	0
I hated the greasy staff here.	0
I loved the fantastic coffee here.	1
Such a horrible experience with the bread. The pizza was noisy too.	0
Would not recommend, the waiter was burnt.	0
Worst place I've had in a long time, truly noisy.	0
Absolutely cold waitress, never coming back.	0
Would not recommend, the bread was horrible. The waiter was burnt too.	0
Worst salad I've had in a long time, truly bad.	0
Best bread I've had in a long time, truly outstanding.	1
What a outstanding place, the waitress exceeded expectations. The bread was tasty too.	1
The ambience here is burnt and not worth the money. The chef was bad too.	0
The ambience was terrible.	0
Would not recommend, the salad was terrible. The pasta was terrible too.	0
Such a fresh experience with the pasta.	1
Highly recommend, the food was perfect.	1
Absolutely impressive soup, will come back again. The chef was superb too.	1
The restaurant here is wonderful and worth every penny. The soup was fresh too.	1
The pizza here is perfect and worth every penny. The ambience was impressive too.	1
Best menu I've had in a long time, truly great.	1
What a flavorful place, the waiter exceeded expectations.	1
The place here is delightful and worth every penny. The soup was friendly too.	1
Best staff I've had in a long time, truly delicious. The waitress was quick too.	1
What a overpriced place, the place fell far short.	0
The ambience here is awful and not worth the money.	0
What a burnt place, the steak fell far short. The coffee was overpriced too.	0
awful restaurant and a poor atmosphere overall.	0
Highly recommend, the salad was impressive. The waitress was lovely too.	1
Absolutely wonderful ambience, will come back again. The sushi was impressive too.	1
burnt service and a poor atmosphere overall. The ambience was soggy too.	0
Absolutely wonderful waitress, will come back again.	1
underwhelming menu and a poor atmosphere overall.	0
What a charming place, the menu exceeded expectations.	1
Such a overpriced experience with the coffee. The waitress was tasteless too.	0
I loved the great soup here.	1
Best waitress I've had in a long time, truly superb. The dessert was delightful too.	1
Absolutely greasy food, never coming back.	0
What a generous place, the salad exceeded expectations. The service was fresh too.	1
Absolutely dirty menu, never coming back.	0
The staff was cold. The salad was slow too.	0
Worst pasta I've had in a long time, truly terrible.	0
We really regretted the greasy place tonight.	0
Highly recommend, the steak was tasty. The bread was cozy too.	1
We really enjoyed the charming burger tonight.	1
amazing restaurant and a great atmosphere overall.	1
The coffee here is awful and not worth the money. The pasta was disappointing too.	0
The salad was perfect.	1
bland food and a poor atmosphere overall.	0
The dessert was fantastic. The ambience was fresh too.	1
I loved the cozy ambience here.	1
Highly recommend, the sushi was delightful. The menu was cozy too.	1
The chef was burnt. The coffee was greasy too.	0
flavorful steak and a great atmosphere overall.	1
Best food I've had in a long time, truly superb. The pasta was fresh too.	1
The coffee was stale.	0
Highly recommend, the ambience was amazing.	1
Worst pizza I've had in a long time, truly slow.	0
great restaurant and a great atmosphere overall.	1
overpriced salad and a poor atmosphere overall. The restaurant was mediocre too.	0
Worst pasta I've had in a long time, truly unfriendly.	0
Absolutely tasty restaurant, will come back again.	1
The menu here is slow and not worth the money.	0
slow coffee and a poor atmosphere overall.	0
Absolutely noisy restaurant, never coming back. The bread was burnt too.	0
Worst place I've had in a long time, truly rude.	0
Worst restaurant I've had in a long time, truly terrible.	0
The waitress here is mediocre and not worth the money.	0
Such a wonderful experience with the burger. The waiter was amazing too.	1
The salad here is unfriendly and not worth the money.	0
What a overpriced place, the salad fell far short. The food was dirty too.	0
Absolutely flavorful staff, will come back again.	1
Best salad I've had in a long time, truly flavorful. The ambience was flavorful too.	1
Absolutely wonderful sushi, will come back again. The service was quick too.	1
perfect food and a great atmosphere overall. The menu was tasty too.	1
We really enjoyed the excellent staff tonight.	1
We really enjoyed the outstanding sushi tonight.	1
The waitress was friendly.	1
tasteless ambience and a poor atmosphere overall.	0
Would not recommend, the soup was unfriendly.	0
I loved the cozy service here.	1
Would not recommend, the service was overpriced.	0
burnt service and a poor atmosphere overall.	0
The service here is disappointing and not worth the money.	0
We really enjoyed the lovely pasta tonight. The pasta was delightful too.	1
Absolutely cozy service, will come back again.	1
Would not recommend, the chef was bland. The soup was burnt too.	0
friendly restaurant and a great atmosphere overall. The food was excellent too.	1
Such a noisy experience with the chef.	0
Worst staff I've had in a long time, truly stale.	0
I hated the cold waiter here. The chef was dirty too.	0
soggy staff and a poor atmosphere overall.	0
Absolutely delightful coffee, will come back again. The ambience was delicious too.	1
What a outstanding place, the waiter exceeded expectations.	1
Absolutely excellent restaurant, will come back again. The service was quick too.	1
We really regretted the greasy pasta tonight. The waiter was cold too.	0
The restaurant was tasty.	1
We really regretted the terrible burger tonight.	0
The sushi was charming.	1
Such a overpriced experience with the sushi.	0
bad sushi and a poor atmosphere overall.	0
The salad was unfriendly. The bread was stale too.	0
Such a charming experience with the salad. The restaurant was delicious too.	1
Absolutely delicious dessert, will come back again.	1
The soup here is delightful and worth every penny. The staff was delicious too.	1
Absolutely quick place, will come back again. The pasta was delightful too.	1
Would not recommend, the salad was noisy. The chef was noisy too.	0
I loved the delicious dessert here.	1
superb steak and a great atmosphere overall.	1
I hated the burnt waitress here. The restaurant was cold too.	0
Would not recommend, the burger was tasteless.	0
What a disappointing place, the menu fell far short. The soup was soggy too.	0
What a flavorful place, the staff exceeded expectations.	1
What a mediocre place, the pasta fell far short.	0
What a soggy place, the burger fell far short.	0
What a slow place, the dessert fell far short.	0
We really enjoyed the flavorful coffee tonight.	1
The salad here is overpriced and not worth the money.	0
The food was fantastic.	1
What a tasty place, the place exceeded expectations.	1
Worst waitress I've had in a long time, truly awful. The menu was terrible too.	0
The menu here is greasy and not worth the money.	0
Highly recommend, the pasta was lovely.	1
Worst food I've had in a long time, truly cold. The soup was unfriendly too.	0
Such a rude experience with the food. The steak was underwhelming too.	0
Absolutely delicious sushi, will come back again.	1
Best chef I've had in a long time, truly charming.	1
Would not recommend, the waitress was awful. The steak was burnt too.	0
Such a amazing experience with the bread.	1
I hated the dirty steak here.	0
Worst burger I've had in a long time, truly terrible.	0
What a rude place, the bread fell far short.	0
I loved the delightful waiter here.	1
The pasta was tasteless. The staff was underwhelming too.	0
We really regretted the dirty pizza tonight.	0
Would not recommend, the pasta was disappointing. The place was dirty too.	0
I loved the tasty service here.	1
Highly recommend, the food was flavorful. The steak was flavorful too.	1
Best coffee I've had in a long time, truly lovely. The place was cozy too.	1
The restaurant was tasty.	1
The coffee was fantastic. The service was delightful too.	1
We really regretted the tasteless staff tonight.	0
The place here is cozy and worth every penny. The pasta was tasty too.	1
Such a tasty experience with the steak. The bread was outstanding too.	1
The chef here is fantastic and worth every penny. The burger was fantastic too.	1
Would not recommend, the food was unfriendly.	0
Best menu I've had in a long time, truly charming.	1
The burger here is wonderful and worth every penny.	1
The waiter here is bland and not worth the money.	0
We really enjoyed the charming steak tonight. The food was flavorful too.	1
cold service and a poor atmosphere overall. The waitress was horrible too.	0
What a unfriendly place, the waiter fell far short.	0
Worst chef I've had in a long time, truly unfriendly. The menu was burnt too.	0
What a bad place, the staff fell far short. The chef was cold too.	0
We really regretted the greasy chef tonight.	0
What a wonderful place, the pizza exceeded expectations. The dessert was friendly too.	1
Worst waiter I've had in a long time, truly tasteless.	0
We really regretted the bland food tonight. The sushi was bad too.	0
Best waiter I've had in a long time, truly lovely.	1
I hated the soggy restaurant here.	0
Highly recommend, the place was outstanding.	1
We really enjoyed the charming pasta tonight.	1
What a fresh place, the waitress exceeded expectations. The waiter was flavorful too.	1
Worst ambience I've had in a long time, truly bland. The soup was mediocre too.	0
Worst waitress I've had in a long time, truly noisy.	0
I hated the rude pizza here.	0
I loved the flavorful soup here.	1
Would not recommend, the chef was tasteless. The chef was rude too.	0
I hated the horrible pasta here.	0
Worst salad I've had in a long time, truly horrible.	0
Such a great experience with the service.	1
Absolutely amazing soup, will come back again.	1
The chef here is burnt and not worth the money. The soup was bad too.	0
Worst menu I've had in a long time, truly disappointing. The pasta was mediocre too.	0
What a bland place, the dessert fell far short. The coffee was horrible too.	0
The restaurant was greasy. The bread was awful too.	0
Best food I've had in a long time, truly charming. The pasta was amazing too.	1
What a quick place, the pizza exceeded expectations. The steak was friendly too.	1
friendly ambience and a great atmosphere overall.	1
Absolutely flavorful waiter, will come back again. The ambience was superb too.	1
The waitress here is slow and not worth the money.	0
The restaurant was slow. The food was slow too.	0
Absolutely mediocre sushi, never coming back. The waitress was bad too.	0
What a quick place, the salad exceeded expectations. The coffee was quick too.	1
bad bread and a poor atmosphere overall. The waiter was mediocre too.	0
What a amazing place, the salad exceeded expectations.	1
The pizza here is cozy and worth every penny.	1
Worst bread I've had in a long time, truly noisy. The service was noisy too.	0
I hated the dirty sushi here.	0
Would not recommend, the staff was slow.	0
Highly recommend, the burger was generous. The salad was great too.	1
I hated the underwhelming pizza here.	0
The bread here is impressive and worth every penny.	1
The steak was burnt.	0
What a flavorful place, the coffee exceeded expectations.	1
The waitress here is superb and worth every penny. The service was delightful too.	1
The pasta here is noisy and not worth the money. The sushi was noisy too.	0
The waiter was impressive.	1
The pasta was delightful. The staff was wonderful too.	1
The coffee here is bland and not worth the money. The salad was stale too.	0
The burger was perfect.	1
What a rude place, the salad fell far short.	0
Absolutely superb chef, will come back again. The pizza was flavorful too.	1
The waiter was soggy. The staff was slow too.	0
We really regretted the slow salad tonight.	0
Such a friendly experience with the waitress.	1
What a tasty place, the waiter exceeded expectations.	1
The dessert here is delicious and worth every penny.	1
Absolutely delicious place, will come back again.	1
We really enjoyed the lovely sushi tonight.	1
overpriced bread and a poor atmosphere overall.	0
The ambience here is flavorful and worth every penny. The waitress was amazing too.	1
bad pasta and a poor atmosphere overall.	0
I hated the awful coffee here.	0
What a quick place, the dessert exceeded expectations.	1
The burger here is tasteless and not worth the money. The place was stale too.	0
We really regretted the horrible soup tonight.	0
Such a noisy experience with the pizza.	0
Would not recommend, the waiter was tasteless. The food was bland too.	0
I loved the quick food here.	1
Such a dirty experience with the chef.	0
The burger was tasty. The staff was delicious too.	1
What a tasty place, the salad exceeded expectations.	1
What a bland place, the place fell far short. The soup was rude too.	0
The place here is excellent and worth every penny. The staff was generous too.	1
Best burger I've had in a long time, truly quick. The staff was perfect too.	1
friendly service and a great atmosphere overall. The service was perfect too.	1
We really regretted the rude burger tonight. The menu was unfriendly too.	0
We really enjoyed the excellent ambience tonight. The bread was quick too.	1
I loved the delightful menu here.	1
The burger was fantastic. The soup was perfect too.	1
We really regretted the terrible chef tonight. The food was awful too.	0
Absolutely perfect ambience, will come back again.	1
The ambience was noisy.	0
underwhelming sushi and a poor atmosphere overall.	0
Such a burnt experience with the staff. The sushi was cold too.	0
Worst soup I've had in a long time, truly burnt. The pasta was horrible too.	0
Worst service I've had in a long time, truly bland.	0
We really regretted the bland steak tonight.	0
Absolutely tasty pasta, will come back again.	1
The ambience here is disappointing and not worth the money.	0
We really enjoyed the superb place tonight. The chef was tasty too.	1
Such a delicious experience with the restaurant. The soup was fresh too.	1
I hated the horrible sushi here.	0
Highly recommend, the pasta was flavorful.	1
The chef was amazing. The steak was delicious too.	1
Such a fantastic experience with the ambience.	1
Highly recommend, the coffee was generous. The soup was fresh too.	1
Absolutely awful staff, never coming back.	0
What a flavorful place, the food exceeded expectations. The restaurant was amazing too.	1
The waiter here is awful and not worth the money.	0
What a generous place, the place exceeded expectations. The soup was great too.	1
We really enjoyed the fantastic place tonight.	1
I hated the overpriced salad here.	0
outstanding waitress and a great atmosphere overall. The soup was charming too.	1
Such a outstanding experience with the restaurant.	1
Best soup I've had in a long time, truly excellent. The burger was wonderful too.	1
Worst waitress I've had in a long time, truly rude.	0
What a fresh place, the chef exceeded expectations. The place was delightful too.	1
The ambience was rude.	0
The staff was amazing. The staff was impressive too.	1
We really regretted the mediocre pasta tonight.	0
The menu here is slow and not worth the money.	0
Absolutely fresh waitress, will come back again.	1
Absolutely delightful service, will come back again.	1
The salad here is bland and not worth the money. The food was burnt too.	0
I hated the disappointing pizza here.	0
Best place I've had in a long time, truly delightful.	1
Such a soggy experience with the bread.	0
The menu was perfect. The restaurant was flavorful too.	1
Absolutely excellent sushi, will come back again.	1
Best service I've had in a long time, truly delicious. The waitress was perfect too.	1
We really enjoyed the delightful steak tonight. The service was charming too.	1
The waiter was rude.	0
Such a great experience with the place.	1
Worst soup I've had in a long time, truly noisy.	0
I loved the fresh steak here. The place was fresh too.	1
disappointing waitress and a poor atmosphere overall.	0
What a flavorful place, the staff exceeded expectations.	1
Such a slow experience with the waitress.	0
rude chef and a poor atmosphere overall. The chef was disappointing too.	0
Such a perfect experience with the dessert. The service was impressive too.	1
Absolutely perfect service, will come back again. The chef was generous too.	1
Best waitress I've had in a long time, truly excellent. The pasta was delightful too.	1
Absolutely delightful waiter, will come back again.	1
I hated the overpriced bread here.	0
Such a flavorful experience with the coffee.	1
The chef was stale.	0
Worst pizza I've had in a long time, truly overpriced.	0
Absolutely impressive pizza, will come back again.	1
The food was mediocre. The sushi was soggy too.	0
Would not recommend, the service was mediocre. The place was bad too.	0
I hated the overpriced sushi here.	0
Such a mediocre experience with the food. The pasta was overpriced too.	0
We really enjoyed the amazing staff tonight.	1
What a generous place, the waiter exceeded expectations.	1
We really enjoyed the generous food tonight.	1
Best ambience I've had in a long time, truly excellent.	1
bland food and a poor atmosphere overall.	0
The steak was soggy. The burger was unfriendly too.	0
Such a impressive experience with the bread.	1
Best staff I've had in a long time, truly delightful.	1
Best service I've had in a long time, truly cozy.	1
Worst place I've had in a long time, truly horrible.	0
Best service I've had in a long time, truly superb. The bread was great too.	1
Absolutely tasty bread, will come back again.	1
I loved the charming pizza here.	1
Such a disappointing experience with the soup. The burger was soggy too.	0
The waitress was stale. The dessert was bad too.	0
Would not recommend, the sushi was soggy.	0
Would not recommend, the sushi was burnt.	0
Worst chef I've had in a long time, truly unfriendly.	0
We really regretted the disappointing staff tonight. The ambience was rude too.	0
I hated the bland pasta here. The place was slow too.	0
Such a slow experience with the sushi.	0
lovely food and a great atmosphere overall.	1
We really enjoyed the wonderful bread tonight. The chef was amazing too.	1
I hated the disappointing pasta here. The pizza was soggy too.	0
What a mediocre place, the steak fell far short. The steak was underwhelming too.	0
Highly recommend, the soup was cozy.	1
Absolutely noisy pasta, never coming back.	0
The pasta here is rude and not worth the money. The dessert was greasy too.	0
Worst service I've had in a long time, truly slow. The waiter was unfriendly too.	0
The waiter here is charming and worth every penny. The waiter was wonderful too.	1
I loved the fresh waiter here. The steak was impressive too.	1
The restaurant here is generous and worth every penny. The menu was charming too.	1
Best service I've had in a long time, truly outstanding. The chef was charming too.	1
The waiter here is charming and worth every penny. The food was friendly too.	1
We really regretted the slow sushi tonight.	0
Highly recommend, the restaurant was amazing.	1
We really regretted the greasy steak tonight.	0
What a slow place, the soup fell far short.	0
I loved the outstanding chef here.	1
Highly recommend, the service was wonderful. The food was friendly too.	1
We really regretted the overpriced salad tonight. The steak was awful too.	0
What a disappointing place, the salad fell far short.	0
The burger was disappointing. The chef was bland too.	0
Such a friendly experience with the coffee.	1
Highly recommend, the salad was delightful.	1
Absolutely friendly dessert, will come back again.	1
superb waitress and a great atmosphere overall. The pasta was superb too.	1
We really enjoyed the lovely dessert tonight.	1
We really regretted the disappointing staff tonight.	0
The waitress here is generous and worth every penny. The waitress was quick too.	1
What a noisy place, the restaurant fell far short. The menu was greasy too.	0
Worst sushi I've had in a long time, truly soggy. The soup was horrible too.	0
terrible staff and a poor atmosphere overall.	0
Absolutely quick burger, will come back again.	1
Such a wonderful experience with the soup. The ambience was lovely too.	1
The bread was flavorful.	1
The pasta here is noisy and not worth the money.	0
The chef was overpriced.	0
The restaurant here is stale and not worth the money.	0
The sushi here is cold and not worth the money.	0
The sushi was overpriced. The burger was underwhelming too.	0
Worst staff I've had in a long time, truly unfriendly.	0
The soup here is quick and worth every penny.	1
Best sushi I've had in a long time, truly fantastic.	1
The soup here is amazing and worth every penny. The service was wonderful too.	1
Absolutely generous steak, will come back again. The service was perfect too.	1
Worst dessert I've had in a long time, truly mediocre. The pasta was soggy too.	0
Such a soggy experience with the staff.	0
What a fantastic place, the waiter exceeded expectations.	1
Worst bread I've had in a long time, truly tasteless.	0
Best pasta I've had in a long time, truly perfect. The soup was superb too.	1
Absolutely amazing restaurant, will come back again.	1
flavorful dessert and a great atmosphere overall. The waiter was fantastic too.	1
Would not recommend, the menu was slow. The menu was burnt too.	0
Highly recommend, the salad was cozy.	1
We really enjoyed the quick place tonight.	1
The place was wonderful.	1
Absolutely dirty pasta, never coming back.	0
Worst salad I've had in a long time, truly soggy. The pasta was terrible too.	0
Absolutely fresh place, will come back again.	1
The restaurant here is overpriced and not worth the money. The restaurant was bland too.	0
I hated the cold waitress here. The sushi was mediocre too.	0
I hated the disappointing service here. The coffee was noisy too.	0
I hated the underwhelming service here.	0
The service here is bland and not worth the money.	0
What a cold place, the place fell far short. The menu was rude too.	0
I hated the terrible dessert here. The burger was noisy too.	0
Absolutely dirty dessert, never coming back.	0
Would not recommend, the salad was overpriced.	0
The place was noisy.	0
Absolutely lovely menu, will come back again.	1
I loved the amazing bread here.	1
Worst coffee I've had in a long time, truly underwhelming.	0
I loved the generous waiter here. The dessert was friendly too.	1
Highly recommend, the waitress was tasty. The place was outstanding too.	1
I hated the bad place here.	0
The sushi here is dirty and not worth the money.	0
Worst service I've had in a long time, truly bland.	0
We really enjoyed the lovely ambience tonight.	1
Such a generous experience with the pasta.	1
Such a mediocre experience with the pasta.	0
Absolutely dirty sushi, never coming back. The sushi was cold too.	0
Would not recommend, the ambience was bad.	0
Absolutely fantastic staff, will come back again. The soup was fantastic too.	1
Best waiter I've had in a long time, truly great.	1
What a tasty place, the steak exceeded expectations.	1
Such a fantastic experience with the ambience.	1
What a stale place, the sushi fell far short.	0
We really regretted the dirty ambience tonight.	0
Would not recommend, the ambience was underwhelming. The chef was cold too.	0
We really regretted the stale place tonight.	0
I loved the amazing restaurant here.	1
The staff was flavorful.	1
Worst ambience I've had in a long time, truly unfriendly. The salad was unfriendly too.	0
Would not recommend, the place was bland.	0
The chef here is tasty and worth every penny.	1
The sushi here is soggy and not worth the money.	0
The bread was charming.	1
I hated the mediocre service here. The steak was horrible too.	0
The chef was bad. The bread was greasy too.	0
underwhelming waiter and a poor atmosphere overall. The ambience was underwhelming too.	0
We really regretted the noisy place tonight.	0
We really regretted the noisy bread tonight.	0
The waiter was soggy. The sushi was noisy too.	0
Worst ambience I've had in a long time, truly unfriendly.	0
The pasta was outstanding. The service was wonderful too.	1
What a superb place, the dessert exceeded expectations. The steak was friendly too.	1
Best place I've had in a long time, truly quick.	1
The waitress was superb.	1
The pizza here is fresh and worth every penny.	1
I hated the greasy staff here. The food was burnt too.	0
We really regretted the awful steak tonight.	0
Highly recommend, the waitress was impressive.	1
We really regretted the terrible burger tonight.	0
What a friendly place, the steak exceeded expectations. The soup was fantastic too.	1
Such a fantastic experience with the sushi. The coffee was outstanding too.	1
The waiter here is unfriendly and not worth the money. The waitress was disappointing too.	0
Would not recommend, the sushi was bland. The burger was awful too.	0
noisy pasta and a poor atmosphere overall.	0
What a great place, the salad exceeded expectations. The steak was perfect too.	1
Would not recommend, the staff was noisy.	0
I loved the superb menu here.	1
The pasta here is cozy and worth every penny.	1
Such a outstanding experience with the bread.	1
Would not recommend, the burger was unfriendly.	0
The bread was rude.	0
What a excellent place, the coffee exceeded expectations.	1
Would not recommend, the chef was stale.	0
The waitress was noisy.	0
Absolutely bad dessert, never coming back. The pasta was mediocre too.	0
I loved the outstanding waitress here.	1
The waitress here is perfect and worth every penny.	1
Such a unfriendly experience with the burger.	0
Such a wonderful experience with the place. The pasta was generous too.	1
burnt sushi and a poor atmosphere overall.	0
Absolutely disappointing service, never coming back. The food was stale too.	0
Absolutely burnt burger, never coming back.	0
The service was underwhelming. The staff was tasteless too.	0
I loved the lovely salad here.	1
I loved the superb waitress here. The restaurant was fresh too.	1
Highly recommend, the place was impressive.	1
Would not recommend, the coffee was noisy. The staff was overpriced too.	0
Worst salad I've had in a long time, truly cold. The soup was horrible too.	0
Such a mediocre experience with the pizza. The waiter was disappointing too.	0
generous burger and a great atmosphere overall. The soup was delicious too.	1
Worst sushi I've had in a long time, truly burnt.	0
Highly recommend, the place was outstanding.	1
Absolutely perfect pizza, will come back again. The dessert was lovely too.	1
The food was delightful.	1
The service here is fresh and worth every penny.	1
I loved the superb pasta here.	1
generous pizza and a great atmosphere overall. The ambience was perfect too.	1
Such a bland experience with the pasta. The waiter was bad too.	0
The steak was mediocre. The staff was underwhelming too.	0
Best sushi I've had in a long time, truly quick.	1
The place here is excellent and worth every penny.	1
What a mediocre place, the dessert fell far short.	0
We really enjoyed the outstanding bread tonight.	1
We really enjoyed the excellent service tonight.	1
terrible restaurant and a poor atmosphere overall. The pasta was tasteless too.	0
I loved the great soup here. The coffee was wonderful too.	1
Best salad I've had in a long time, truly quick.	1
Absolutely perfect restaurant, will come back again.	1
Such a greasy experience with the steak. The dessert was rude too.	0
What a horrible place, the ambience fell far short. The food was burnt too.	0
I hated the overpriced salad here.	0
Absolutely perfect menu, will come back again. The salad was quick too.	1
Absolutely perfect salad, will come back again. The dessert was excellent too.	1
The soup was cold.	0
We really enjoyed the generous waitress tonight. The menu was tasty too.	1
We really enjoyed the lovely burger tonight. The waitress was tasty too.	1
The salad here is tasty and worth every penny.	1
Absolutely quick menu, will come back again.	1
The restaurant here is amazing and worth every penny.	1
We really regretted the unfriendly pizza tonight.	0
We really enjoyed the impressive dessert tonight. The sushi was wonderful too.	1
Such a horrible experience with the steak.	0
The waitress here is delightful and worth every penny. The bread was delicious too.	1
Such a tasteless experience with the service.	0
What a delightful place, the dessert exceeded expectations.	1
The service here is terrible and not worth the money.	0
lovely ambience and a great atmosphere overall.	1
The restaurant was burnt.	0
Highly recommend, the burger was excellent.	1
Absolutely bad steak, never coming back. The coffee was mediocre too.	0
I loved the perfect restaurant here. The restaurant was flavorful too.	1
dirty burger and a poor atmosphere overall. The burger was unfriendly too.	0
Worst burger I've had in a long time, truly soggy.	0
We really enjoyed the outstanding waiter tonight.	1
We really enjoyed the charming restaurant tonight. The restaurant was delicious too.	1
The pizza was rude.	0
generous waiter and a great atmosphere overall. The sushi was delicious too.	1
Would not recommend, the chef was dirty.	0
Absolutely cold sushi, never coming back. The staff was disappointing too.	0
Absolutely rude pasta, never coming back.	0
What a impressive place, the burger exceeded expectations. The food was cozy too.	1
rude soup and a poor atmosphere overall.	0
I hated the underwhelming pizza here.	0
I loved the lovely food here. The soup was fantastic too.	1
The steak was wonderful. The sushi was generous too.	1
The burger was delightful. The service was delightful too.	1
What a outstanding place, the chef exceeded expectations. The service was lovely too.	1
I hated the awful steak here.	0
I hated the horrible salad here. The waiter was overpriced too.	0
The ambience was bland.	0
horrible waiter and a poor atmosphere overall. The restaurant was cold too.	0
flavorful pasta and a great atmosphere overall.	1
Absolutely unfriendly pasta, never coming back. The place was dirty too.	0
We really regretted the disappointing coffee tonight.	0
The ambience here is flavorful and worth every penny.	1
bland waitress and a poor atmosphere overall.	0
rude salad and a poor atmosphere overall.	0
Would not recommend, the staff was awful. The chef was overpriced too.	0
Would not recommend, the restaurant was underwhelming.	0
The coffee here is bland and not worth the money.	0
The staff here is underwhelming and not worth the money. The restaurant was greasy too.	0
cozy pizza and a great atmosphere overall. The service was charming too.	1
Highly recommend, the staff was delicious. The waitress was quick too.	1
What a bad place, the place fell far short.	0
What a stale place, the dessert fell far short. The coffee was terrible too.	0
Absolutely generous place, will come back again.	1
I hated the awful ambience here.	0
What a tasteless place, the pasta fell far short.	0
The chef here is unfriendly and not worth the money. The waiter was disappointing too.	0
What a great place, the waiter exceeded expectations. The place was quick too.	1
The bread was terrible. The food was rude too.	0
generous sushi and a great atmosphere overall.	1
The salad here is underwhelming and not worth the money.	0
superb salad and a great atmosphere overall.	1
Absolutely wonderful staff, will come back again. The place was amazing too.	1
Such a terrible experience with the menu.	0
fresh restaurant and a great atmosphere overall.	1
I hated the disappointing bread here. The chef was slow too.	0
The sushi was quick. The restaurant was generous too.	1
The sushi was underwhelming.	0
Such a overpriced experience with the soup. The ambience was awful too.	0
I loved the amazing steak here.	1
We really regretted the mediocre waitress tonight.	0
The salad here is burnt and not worth the money. The ambience was underwhelming too.	0
What a impressive place, the coffee exceeded expectations.	1
The sushi was overpriced.	0
Worst waitress I've had in a long time, truly noisy.	0
We really enjoyed the quick burger tonight. The salad was superb too.	1
The chef was quick. The menu was flavorful too.	1
Such a bad experience with the dessert.	0
What a tasteless place, the soup fell far short.	0
